fuel_type_code,station_name,access_code,ev_network,facility_type,name,address,city,state_province,postal_code,country,latitude,longitude,full_address,source,state_name,state_abbr,state_fips,county_name,county_fips,county_fips_full,zcta,cbsa_code,cbsa_name,city_name,census_tract,block_group,geoid,lat_r_census,lon_r_census,population_density,median_age,median_age_source,population_density_source,household_size,household_size_source,urban_rural_mismatch,urban_rural,median_household_income,median_household_income_source,education_bachelors_plus_pct,education_bachelors_plus_pct_source,unemployment_rate,unemployment_rate_source,poverty_rate,poverty_rate_source,median_home_value,median_gross_rent,median_home_value_rent,median_home_value_source,median_gross_rent_source,median_home_value_rent_source,highway_proximity_m,highway_proximity_censored,highway_proximity_source,restore_index
ELEC,LOMA CREEK LOMA CREEK 6,public,ChargePoint Network,,LOMA CREEK LOMA CREEK 6,3550 South Mill Creek Ave Ontario,Ontario,CA,91761.0,US,34.009316,-117.567691,"3550 South Mill Creek Ave Ontario, Ontario, CA, 91761, US",AFDC,California,CA,6,San Bernardino County,71,6071,91761.0,348.0,"Los Angeles-Long Beach, CA",Ontario,6071001906,3.0,6071001906.0,34.009316,-117.567691,1593.01,33.8,tract,tract,3.24,tract,False,Urban,123953.0,tract,35.98,tract,6.59,tract,8.07,tract,661600.0,2453.0,269.711,tract,tract,tract,1577.5,False,primaryroads:tl_2025_us_primaryroads.shp,20000
ELEC,LOMA CREEK LOMA CREEK 4,public,ChargePoint Network,,LOMA CREEK LOMA CREEK 4,3550 South Mill Creek Ave,Ontario,CA,91761.0,US,34.009458,-117.567821,"3550 South Mill Creek Ave, Ontario, CA, 91761, US",AFDC,California,CA,6,San Bernardino County,71,6071,91761.0,348.0,"Los Angeles-Long Beach, CA",Ontario,6071001906,3.0,6071001906.0,34.009458,-117.567821,1593.01,33.8,tract,tract,3.24,tract,False,Urban,123953.0,tract,35.98,tract,6.59,tract,8.07,tract,661600.0,2453.0,269.711,tract,tract,tract,1589.5,False,primaryroads:tl_2025_us_primaryroads.shp,20001
ELEC,BAYSIDE CHURCH,public,EVGATEWAY,,BAYSIDE CHURCH,8191 Sierra College Blvd,Roseville,CA,95661.0,US,38.7495119,-121.2253065,"8191 Sierra College Blvd, Roseville, CA, 95661, US",AFDC,California,CA,6,Placer County,61,6061,95661.0,472.0,"Sacramento-Roseville, CA",Granite Bay CDP,6061020607,1.0,6061020607.0,38.7495119,-121.2253065,213.65,40.0,tract,tract,3.03,tract,False,Urban,218810.0,tract,55.87,tract,3.96,tract,2.02,tract,1014600.0,2098.0,,tract,tract,county,3034.7,False,primaryroads:tl_2025_us_primaryroads.shp,20002
ELEC,Kappel Gateway 1,public,EVGATEWAY,,Kappel Gateway 1,3700 Hilborn Rd,Fairfield,CA,94534.0,US,38.2955846,-122.0360227,"3700 Hilborn Rd, Fairfield, CA, 94534, US",AFDC,California,CA,6,Solano County,95,6095,94534.0,488.0,"San Jose-San Francisco-Oakland, CA",Fairfield,6095252311,3.0,6095252311.0,38.2955846,-122.0360227,537.28,38.4,tract,tract,2.85,tract,False,Urban,150217.0,tract,44.33,tract,6.06,tract,6.23,tract,721200.0,2809.0,256.746,tract,tract,tract,158.7,False,primaryroads:tl_2025_us_primaryroads.shp,20003
ELEC,Raleys HQ,public,EVGATEWAY,,Raleys HQ,500 W Capitol Ave,West Sacramento,CA,95605.0,US,38.5829999,-121.5146009,"500 W Capitol Ave, West Sacramento, CA, 95605, US",AFDC,California,CA,6,Yolo County,113,6113,,472.0,"Sacramento-Roseville, CA",West Sacramento,6113010105,1.0,6113010105.0,38.5829999,-121.5146009,1330.69,27.9,tract,tract,2.25,tract,False,Urban,58631.0,tract,36.35,tract,9.8,tract,9.28,tract,487200.0,1391.0,,tract,tract,county,819.0,False,primaryroads:tl_2025_us_primaryroads.shp,20004
ELEC,WiZiX Fresno,public,EVGATEWAY,,WiZiX Fresno,3649 W Holland Ave,Fresno,CA,93722.0,US,36.797236,-119.858912,"3649 W Holland Ave, Fresno, CA, 93722, US",AFDC,California,CA,6,Fresno County,19,6019,93722.0,260.0,"Fresno-Madera-Hanford, CA",Fresno,6019004205,4.0,6019004205.0,36.797236,-119.858912,1182.85,28.6,tract,tract,3.29,tract,False,Urban,49375.0,tract,10.67,tract,15.27,tract,31.29,tract,235600.0,1337.0,176.215,tract,tract,tract,672.4,False,primaryroads:tl_2025_us_primaryroads.shp,20005
ELEC,Best Buy - Tesla Supercharger,public,Tesla,SHOPPING_CENTER,Best Buy - Tesla Supercharger,59 N Broadway,Chula Vista,CA,91910.0,US,32.650659,-117.094871,"59 N Broadway, Chula Vista, CA, 91910, US",AFDC,California,CA,6,San Diego County,73,6073,91910.0,41740.0,"San Diego-Chula Vista-Carlsbad, CA",Chula Vista,6073012401,1.0,6073012401.0,32.650659,-117.094871,2153.46,37.3,tract,tract,2.69,tract,False,Urban,81538.0,tract,20.24,tract,10.22,tract,6.79,tract,422400.0,1755.0,240.684,tract,tract,tract,210.7,False,primaryroads:tl_2025_us_primaryroads.shp,20006
ELEC,Barons - Tesla Supercharger,public,Tesla,SHOPPING_CENTER,Barons - Tesla Supercharger,31963 Rancho California Rd,Temecula,CA,92591.0,US,33.513856,-117.103029,"31963 Rancho California Rd, Temecula, CA, 92591, US",AFDC,California,CA,6,Riverside County,65,6065,92592.0,348.0,"Los Angeles-Long Beach, CA",Temecula,6065043262,1.0,6065043262.0,33.513856,-117.103029,1325.16,41.3,tract,tract,2.86,tract,False,Urban,121875.0,tract,37.52,tract,4.37,tract,3.9,tract,621900.0,2516.0,247.178,tract,tract,tract,4518.0,False,primaryroads:tl_2025_us_primaryroads.shp,20007
ELEC,SKYLARK EV SKYLARK EV STN,public,ChargePoint Network,,SKYLARK EV SKYLARK EV STN,4 Cielo Ln,Novato,CA,94949.0,US,38.057844,-122.532353,"4 Cielo Ln, Novato, CA, 94949, US",AFDC,California,CA,6,Marin County,41,6041,94949.0,488.0,"San Jose-San Francisco-Oakland, CA",Novato,6041104200,2.0,6041104200.0,38.057844,-122.532353,320.23,47.8,tract,tract,2.38,tract,False,Urban,107965.0,tract,46.11,tract,6.08,tract,5.22,tract,977200.0,3013.0,,tract,tract,county,108.7,False,primaryroads:tl_2025_us_primaryroads.shp,20008
ELEC,APPELLATION HBG STATION 4,public,ChargePoint Network,,APPELLATION HBG STATION 4,299 W Grant St,Healdsburg,CA,95448.0,US,38.616096,-122.878223,"299 W Grant St, Healdsburg, CA, 95448, US",AFDC,California,CA,6,Sonoma County,97,6097,95448.0,488.0,"San Jose-San Francisco-Oakland, CA",Healdsburg,6097153902,1.0,6097153902.0,38.616096,-122.878223,1295.26,37.6,tract,tract,2.64,tract,False,Urban,94006.0,tract,29.88,tract,9.0,tract,11.93,tract,903600.0,2032.0,,tract,tract,county,42.3,False,primaryroads:tl_2025_us_primaryroads.shp,20009
ELEC,APPELLATION HBG STATION 1,public,ChargePoint Network,,APPELLATION HBG STATION 1,101 Dovetail Ln,Healdsburg,CA,95448.0,US,38.646167,-122.869919,"101 Dovetail Ln, Healdsburg, CA, 95448, US",AFDC,California,CA,6,Sonoma County,97,6097,95448.0,488.0,"San Jose-San Francisco-Oakland, CA",Healdsburg,6097153905,2.0,6097153905.0,38.646167,-122.869919,68.91,44.3,tract,tract,2.5,tract,False,Urban,108269.0,tract,44.32,tract,9.48,tract,13.88,tract,998100.0,1947.0,,tract,tract,county,283.7,False,primaryroads:tl_2025_us_primaryroads.shp,20010
ELEC,APPELLATION HBG STATION 3,public,ChargePoint Network,,APPELLATION HBG STATION 3,101 Dovetail Ln,Healdsburg,CA,95448.0,US,38.646097,-122.869927,"101 Dovetail Ln, Healdsburg, CA, 95448, US",AFDC,California,CA,6,Sonoma County,97,6097,95448.0,488.0,"San Jose-San Francisco-Oakland, CA",Healdsburg,6097153905,2.0,6097153905.0,38.646097,-122.869927,68.91,44.3,tract,tract,2.5,tract,False,Urban,108269.0,tract,44.32,tract,9.48,tract,13.88,tract,998100.0,1947.0,,tract,tract,county,285.4,False,primaryroads:tl_2025_us_primaryroads.shp,20011
ELEC,APPELLATION HBG STATION 5,public,ChargePoint Network,,APPELLATION HBG STATION 5,101 Dovetail Ln,Healdsburg,CA,95448.0,US,38.646108,-122.869969,"101 Dovetail Ln, Healdsburg, CA, 95448, US",AFDC,California,CA,6,Sonoma County,97,6097,95448.0,488.0,"San Jose-San Francisco-Oakland, CA",Healdsburg,6097153905,2.0,6097153905.0,38.646108,-122.869969,68.91,44.3,tract,tract,2.5,tract,False,Urban,108269.0,tract,44.32,tract,9.48,tract,13.88,tract,998100.0,1947.0,,tract,tract,county,281.6,False,primaryroads:tl_2025_us_primaryroads.shp,20012
